Diaphragm	84	61	61	2505	3245	Muscular_system	Chest_muscles	橫膈
Stomach_mural	237	189	168	2745	3400	Alimentary_system	Digestive_tract	胃（壁）
Stomach_luminal	1	181	22	2745	3395	Alimentary_system	Digestive_tract	胃（腔）
Duodenum	237	204	186	3115	3355	Alimentary_system	Digestive_tract	十二指腸
Jejunum_and_ileum	1	41	1	3155	4255	Alimentary_system	Digestive_tract	空腸和迴腸
Cecum	200	38	200	3625	3780	Alimentary_system	Large_intestine	盲腸
Appendix	224	204	217	3785	4030	Alimentary_system	Large_intestine	闌尾
Ascending_colon	230	214	214	3225	3780	Alimentary_system	Large_intestine	升結腸
Transverse_colon	204	133	138	3290	3755	Alimentary_system	Large_intestine	橫結腸
Descending_colon	227	171	250	3455	3895	Alimentary_system	Large_intestine	降結腸
Sigmoid_colon	222	196	55	3750	4190	Alimentary_system	Large_intestine	乙結腸
Rectum	227	212	212	4165	4495	Alimentary_system	Large_intestine	直腸
Liver	212	214	217	2520	3460	Alimentary_system	Digestive_glands	肝
Common_hepatic_duct	191	209	214	2915	3025	Alimentary_system	Digestive_glands	總肝管
Right_hepatic_duct	97	191	26	2720	3015	Alimentary_system	Digestive_glands	右肝管
Left_hepatic_duct	186	232	217	2630	2945	Alimentary_system	Digestive_glands	左肝管
Gallbladder	168	173	112	2925	3425	Alimentary_system	Digestive_glands	膽囊
Cystic_duct	99	143	56	3020	3080	Alimentary_system	Digestive_glands	膽囊管
Common_bile_duct	194	196	148	3020	3275	Alimentary_system	Digestive_glands	總膽管
Hepatopancreatic_ampulla	214	222	107	3255	3310	Alimentary_system	Gastrointestinal_tract	肝胰壺腹
Pancreas	219	222	230	3010	3365	Alimentary_system	Digestive_glands	胰腺
Pancreatic_duct	0	158	186	3260	3280	Alimentary_system	Digestive_glands	胰管
Kidney	140	143	214	3065	3545	Urinary_system	Urinary	腎
Kidney	130	156	0	2985	3565	Urinary_system	Urinary	腎
Descending_aorta	217	115	0	1900	3595	Cardiovascular_system	Arteries_of_thorax_and_abdomen	降主動脈
Celiac_trunk	64	18	166	2925	3005	Cardiovascular_system	Aorta_abdominalis	腹腔幹
Left_gastric_a.	18	28	77	2910	2955	Cardiovascular_system	Aorta_abdominalis	胃左動脈
Common_hepatic_a.	0	61	110	2990	3015	Cardiovascular_system	Aorta_abdominalis	肝總動脈
Gastroduodenal_a.	0	41	200	3020	3165	Cardiovascular_system	Aorta_abdominalis	胃十二指腸動脈
Proper_hepatic_a.	0	51	171	2965	3015	Cardiovascular_system	Aorta_abdominalis	肝固有動脈
Cystic_a.	173	219	227	3020	3165	Cardiovascular_system	Aorta_abdominalis	膽囊動脈
Splenic_a.	105	204	230	2975	3165	Cardiovascular_system	Aorta_abdominalis	脾臟動脈
Superior_mesenteric_a.	117	209	100	3015	3800	Cardiovascular_system	Aorta_abdominalis	上腸繫膜動脈
Inferior_mesenteric_a.	130	212	196	3335	3800	Cardiovascular_system	Aorta_abdominalis	下腸繫膜動脈
